Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C4",0402,2,1u,
"C2, C5",0805,2,10p,
"C3, C6",0805,2,2.2u,
D1,SOD2512X113N,1,shottky_byass_2,
D2,ASCKCG00NW5X5020302,1,3.3V_LED,
D3,SOD2512X113N,1,shottky_byass_3,
D4,ASCKCG00NW5X5020302,1,6V_LED,
IC1,SOP65P490X110-9N,1,LDO_3.3V,
IC2,SOP65P490X110-9N,1,LDO_6V,
J1,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,SWITCH_LOGIC,
J2,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,BAT_IN,
J3,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,BAU,
J4,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,3.3V_OUT,
J5,JST_XH_B2B-XH-A_1x02_P2.50mm_Vertical,1,5V_OUT,
R1,0805,1,500k,
"R2, R5",0805,2,160k,
R3,0805,1,15,
R4,0805,1,840,
R6,0805,1,135,
