Designator,Mid X,Mid Y,Rotation,Layer
C1,184.5,-82.0,270.0,top
C10,137.5,-81.5,270.0,top
C11,205.25,-83.75,90.0,top
C2,150.5,-72.5,0.0,top
C3,150.5,-75.0,0.0,top
C4,182.5,-82.0,270.0,top
C5,194.5,-110.5,0.0,top
C6,171.0,-110.5,0.0,top
C7,203.25,-83.75,90.0,top
C8,196.75,-83.75,90.0,top
C9,145.5,-80.5,0.0,top
D1,142.0,-80.5,180.0,top
D2,176.75,-70.25,0.0,top
IC1,163.6,-74.64,0.0,top
IC2,142.5,-83.5,0.0,top
J1,184.89,-105.95,90.0,top
J10,133.0,-100.58,0.0,top
J11,147.5,-100.62,0.0,top
J12,189.0,-78.0,90.0,top
J14,187.26,-73.725,90.0,top
J2,144.0,-73.75,270.0,top
J3,135.0,-73.75,270.0,top
J4,132.5725,-83.4475,270.0,top
J5,184.89,-95.0,90.0,top
J6,184.75,-112.5,0.0,top
J7,161.25,-112.0,0.0,top
J8,161.475,-105.925,90.0,top
J9,161.515,-94.975,90.0,top
R1,181.0,-70.25,180.0,top
R2,201.25,-83.75,270.0,top
S1,203.25,-77.25,90.0,top
S2,197.25,-77.25,90.0,top
U1,178.5,-82.0,90.0,top
